Market Center,Commodity,State,Loc,Year,Month,Unit of Arrivals,Variety,Minimum Price,Maximum Price,Modal Price,Unit of Price
Koduru,Banana - Green,Andhra Pradesh,"[81.0417, 16.0022]",2012,February,Tonnes,Banana - Green,500,600,550,Rs/Quintal
Koilkunta,Jowar(Sorgham),Andhra Pradesh,"[78.31670, 15.23330]",2012,February,Tonnes,Jowar ( White),1100,1200,1150,Rs/Quintal
Koilkunta,Paddy(Dhan),Andhra Pradesh,"[78.31670, 15.23330]",2012,February,Tonnes,B P T,1000,1100,1050,Rs/Quintal
Koilkunta,Bengal Grams(Gram),Andhra Pradesh,"[78.31670, 15.23330]",2012,February,Tonnes,Desi (Whole),3250,3350,3300,Rs/Quintal
Kondapi,Paddy(Dhan),Andhra Pradesh,"[79.8566366, 15.4142476]",2011,February,Tonnes,B P T,1200,1260,1230,Rs/Quintal
Kondapi,Rice,Andhra Pradesh,"[79.8566366, 15.4142476]",2011,February,Tonnes,B P T,2200,2300,2250,Rs/Quintal
Kondapi,Paddy(Dhan),Andhra Pradesh,"[79.8566366, 15.4142476]",2012,February,Tonnes,B P T,1250,1350,1300,Rs/Quintal
Kondapi,Rice,Andhra Pradesh,"[79.8566366, 15.4142476]",2012,February,Tonnes,B P T,2250,2350,2300,Rs/Quintal
Kondapi,Bengal Grams(Gram),Andhra Pradesh,"[79.8566366, 15.4142476]",2012,February,Tonnes,Bengal Gram (Split),4400,4500,4450,Rs/Quintal
Kothabommali,Paddy(Dhan),Andhra Pradesh,"[84.15143, 18.51841] ",2012,February,Tonnes,Paddy,1080,1110,1080,Rs/Quintal
Kothapeta,Paddy(Dhan),Andhra Pradesh,"[81.89578, 16.71601]",2011,February,Tonnes,Paddy,1000,1050,1040,Rs/Quintal
Kothapeta,Paddy(Dhan),Andhra Pradesh,"[81.89578, 16.71601]",2012,February,Tonnes,Paddy,1080,1110,1090,Rs/Quintal
Kothavalasa,Paddy(Dhan),Andhra Pradesh,"[83.19082, 17.89087]",2012,February,Tonnes,Sona Mahsuri,1070,1080,1075,Rs/Quintal
Kothavalasa,Rice,Andhra Pradesh,"[83.19082, 17.89087]",2012,February,Tonnes,AP Raw Rice-1001,1850,1900,1875,Rs/Quintal
Kothavalasa,Rice,Andhra Pradesh,"[83.19082, 17.89087]",2012,February,Tonnes,B P T,1800,2000,1900,Rs/Quintal
Kothavalasa,Groundnut,Andhra Pradesh,"[83.19082, 17.89087]",2012,February,Tonnes,Bold Kernel,3200,3250,3225,Rs/Quintal
Kothavalasa,Groundnut,Andhra Pradesh,"[83.19082, 17.89087]",2012,February,Tonnes,Local,2500,2550,2525,Rs/Quintal
Kovvur,Paddy(Dhan),Andhra Pradesh,"[81.7333, 17.0167]",2012,February,Tonnes,MTU-1010,1080,1110,1110,Rs/Quintal
Kovvur,Paddy(Dhan),Andhra Pradesh,"[81.7333, 17.0167]",2011,February,Tonnes,MTU-1010,980,1050,1000,Rs/Quintal
Kovvur,Rice,Andhra Pradesh,"[81.7333, 17.0167]",2011,February,Tonnes,Sona Mansoori Non Basmati,2400,2500,2450,Rs/Quintal
Kovvur,Beans,Andhra Pradesh,"[81.7333, 17.0167]",2011,February,Tonnes,Beans (Whole),2800,3000,2900,Rs/Quintal
Kovvur,Beetroot,Andhra Pradesh,"[81.7333, 17.0167]",2011,February,Tonnes,Beetroot,2000,2200,2100,Rs/Quintal
Kovvur,Bhindi(Ladies Finger),Andhra Pradesh,"[81.7333, 17.0167]",2011,February,Tonnes,Bhindi,1600,1800,1700,Rs/Quintal
Kovvur,Bitter gourd,Andhra Pradesh,"[81.7333, 17.0167]",2011,February,Tonnes,Bitter Gourd,1600,1800,1700,Rs/Quintal
Kovvur,Bottle gourd,Andhra Pradesh,"[81.7333, 17.0167]",2011,February,Tonnes,Bottle Gourd,500,700,600,Rs/Quintal
Kovvur,Brinjal,Andhra Pradesh,"[81.7333, 17.0167]",2011,February,Tonnes,Brinjal,800,1000,900,Rs/Quintal
Kovvur,Cabbage,Andhra Pradesh,"[81.7333, 17.0167]",2011,February,Tonnes,Cabbage,1000,1200,1100,Rs/Quintal
Kovvur,Carrot,Andhra Pradesh,"[81.7333, 17.0167]",2011,February,Tonnes,Carrot,1600,1800,1700,Rs/Quintal
Kovvur,Cauliflower,Andhra Pradesh,"[81.7333, 17.0167]",2011,February,Tonnes,Cauliflower,600,800,700,Rs/Quintal
Kovvur,Cluster beans,Andhra Pradesh,"[81.7333, 17.0167]",2011,February,Tonnes,Cluster Beans,1600,1800,1700,Rs/Quintal
Kovvur,Cucumbar,Andhra Pradesh,"[81.7333, 17.0167]",2011,February,Tonnes,Cucumbar,1600,1800,1700,Rs/Quintal
Kovvur,Drumstick,Andhra Pradesh,"[81.7333, 17.0167]",2011,February,Tonnes,Drumstick,2400,2600,2500,Rs/Quintal
Kovvur,Green Chilly,Andhra Pradesh,"[81.7333, 17.0167]",2011,February,Tonnes,Green Chilly,1600,1800,1700,Rs/Quintal
Kovvur,Onion,Andhra Pradesh,"[81.7333, 17.0167]",2011,February,Tonnes,Onion,1500,1700,1600,Rs/Quintal
Kovvur,Potato,Andhra Pradesh,"[81.7333, 17.0167]",2011,February,Tonnes,Potato,800,1000,900,Rs/Quintal
Kovvur,Ridgeguard(Tori),Andhra Pradesh,"[81.7333, 17.0167]",2011,February,Tonnes,Ridgeguard(Tori),2000,2200,2100,Rs/Quintal
Kovvur,Tomato,Andhra Pradesh,"[81.7333, 17.0167]",2011,February,Tonnes,Tomato,800,1000,900,Rs/Quintal
Kovvur,Paddy(Dhan),Andhra Pradesh,"[81.7333, 17.0167]",2012,February,Tonnes,Sona Mahsuri,1000,1110,1080,Rs/Quintal
Kovvur,Bhindi(Ladies Finger),Andhra Pradesh,"[81.7333, 17.0167]",2012,February,Tonnes,Bhindi,3200,3400,3300,Rs/Quintal
Kovvur,Bitter gourd,Andhra Pradesh,"[81.7333, 17.0167]",2012,February,Tonnes,Bitter Gourd,2000,2200,2100,Rs/Quintal
Kovvur,Bottle gourd,Andhra Pradesh,"[81.7333, 17.0167]",2012,February,Tonnes,Bottle Gourd,800,1000,900,Rs/Quintal
Kovvur,Brinjal,Andhra Pradesh,"[81.7333, 17.0167]",2012,February,Tonnes,Brinjal,1300,1500,1400,Rs/Quintal
Kovvur,Cabbage,Andhra Pradesh,"[81.7333, 17.0167]",2012,February,Tonnes,Cabbage,1000,1200,1100,Rs/Quintal
Kovvur,Cauliflower,Andhra Pradesh,"[81.7333, 17.0167]",2012,February,Tonnes,Cauliflower,900,1100,1000,Rs/Quintal
Kovvur,Green Chilly,Andhra Pradesh,"[81.7333, 17.0167]",2012,February,Tonnes,Green Chilly,1600,1800,1700,Rs/Quintal
